序号,合约,手数,开仓日期,平仓日期,方向,开仓价,平仓价,平仓盈亏,持仓天数,结果,PDF页码,平仓月份
1,sp2401,1,2023-11-06,2023-11-06,空头,6188,6180,80,0,盈利,1,2023-11
2,FG401,1,2023-11-07,2023-11-07,空头,1714,1713,20,0,盈利,1,2023-11
3,MA401,1,2023-11-07,2023-11-07,空头,2480,2476,40,0,盈利,1,2023-11
4,MA401,1,2023-11-07,2023-11-07,空头,2478,2477,10,0,盈利,1,2023-11
5,MA401,1,2023-11-07,2023-11-07,空头,2486,2476,100,0,盈利,1,2023-11
6,MA401,1,2023-11-07,2023-11-07,空头,2480,2477,30,0,盈利,1,2023-11
7,MA405,1,2023-11-07,2023-11-07,多头,2462,2458,-40,0,亏损,1,2023-11
8,eg2401,1,2023-11-07,2023-11-07,空头,4210,4211,-10,0,亏损,1,2023-11
9,pp2401,1,2023-11-07,2023-11-07,空头,7715,7712,15,0,盈利,1,2023-11
10,pp2401,1,2023-11-07,2023-11-07,空头,7728,7723,25,0,盈利,1,2023-11
11,FG401,1,2023-11-08,2023-11-08,多头,1705,1701,-80,0,亏损,1,2023-11
12,FG401,1,2023-11-08,2023-11-08,多头,1702,1702,0,0,持平,1,2023-11
13,FG405,1,2023-11-08,2023-11-08,空头,1644,1642,40,0,盈利,1,2023-11
14,FG405,1,2023-11-08,2023-11-08,空头,1647,1641,120,0,盈利,1,2023-11
15,MA401,1,2023-11-08,2023-11-08,空头,2488,2484,40,0,盈利,1,2023-11
16,MA401,1,2023-11-08,2023-11-08,空头,2496,2495,10,0,盈利,1,2023-11
17,MA401,1,2023-11-08,2023-11-08,空头,2498,2505,-70,0,亏损,1,2023-11
18,MA401,1,2023-11-08,2023-11-08,空头,2506,2503,30,0,盈利,1,2023-11
19,MA401,1,2023-11-08,2023-11-08,空头,2484,2486,-20,0,亏损,1,2023-11
20,MA401,2,2023-11-08,2023-11-08,空头,2504,2506,-40,0,亏损,1,2023-11
21,MA401,1,2023-11-08,2023-11-08,空头,2501,2508,-70,0,亏损,1,2023-11
22,MA401,1,2023-11-08,2023-11-08,空头,2506,2501,50,0,盈利,1,2023-11
23,SA401,1,2023-11-08,2023-11-08,空头,1915,1914,20,0,盈利,1,2023-11
24,SA401,1,2023-11-08,2023-11-08,空头,1909,1907,40,0,盈利,1,2023-11
25,eb2312,1,2023-11-08,2023-11-08,空头,8438,8435,15,0,盈利,1,2023-11
26,eb2312,1,2023-11-08,2023-11-08,空头,8443,8434,45,0,盈利,1,2023-11
27,eb2312,1,2023-11-08,2023-11-08,空头,8436,8435,5,0,盈利,2,2023-11
28,eb2312,1,2023-11-08,2023-11-08,空头,8444,8434,50,0,盈利,2,2023-11
29,eg2401,1,2023-11-08,2023-11-08,空头,4189,4190,-10,0,亏损,2,2023-11
30,eg2401,1,2023-11-08,2023-11-08,空头,4174,4175,-10,0,亏损,2,2023-11
31,pp2401,1,2023-11-08,2023-11-08,空头,7690,7684,30,0,盈利,2,2023-11
32,ss2312,1,2023-11-08,2023-11-08,空头,14480,14475,25,0,盈利,2,2023-11
33,v2401,1,2023-11-08,2023-11-08,多头,6081,6084,15,0,盈利,2,2023-11
34,CF401,1,2023-11-09,2023-11-09,空头,15835,15810,125,0,盈利,2,2023-11
35,CF405,1,2023-11-09,2023-11-09,多头,15580,15565,-75,0,亏损,2,2023-11
36,FG401,1,2023-11-09,2023-11-09,多头,1673,1680,140,0,盈利,2,2023-11
37,FG405,1,2023-11-09,2023-11-09,空头,1617,1623,-120,0,亏损,2,2023-11
38,MA401,1,2023-11-09,2023-11-09,空头,2514,2501,130,0,盈利,2,2023-11
39,MA401,1,2023-11-09,2023-11-09,空头,2506,2498,80,0,盈利,2,2023-11
40,MA405,1,2023-11-09,2023-11-09,多头,2492,2482,-100,0,亏损,2,2023-11
41,bu2401,1,2023-11-09,2023-11-09,多头,3574,3568,-60,0,亏损,2,2023-11
42,bu2401,1,2023-11-09,2023-11-09,多头,3584,3588,40,0,盈利,2,2023-11
43,eb2312,1,2023-11-09,2023-11-09,多头,8406,8423,85,0,盈利,2,2023-11
44,eb2312,1,2023-11-09,2023-11-09,空头,8411,8425,-70,0,亏损,2,2023-11
45,lu2402,1,2023-11-09,2023-11-09,多头,4270,4269,-10,0,亏损,2,2023-11
46,pg2404,1,2023-11-09,2023-11-09,多头,5065,5121,1120,0,盈利,2,2023-11
47,pg2405,1,2023-11-09,2023-11-09,空头,4934,4992,-1160,0,亏损,2,2023-11
48,sp2401,1,2023-11-09,2023-11-09,空头,6150,6148,20,0,盈利,2,2023-11
49,PF401,1,2023-11-10,2023-11-10,多头,7362,7376,70,0,盈利,2,2023-11
50,PF403,1,2023-11-10,2023-11-10,空头,7388,7398,-50,0,亏损,2,2023-11
51,rb2401,1,2023-11-10,2023-11-10,空头,3874,3883,-90,0,亏损,2,2023-11
52,rb2401,1,2023-11-10,2023-11-10,空头,3876,3864,120,0,盈利,2,2023-11
